VOLE_ID,TRT,SEX,NULL_CHECK,SP_INDEX,NO_TRIAL2_OBJ1_TOT_DUR,NO_TRIAL2_OBJ2_TOT_DUR,NO_TRIAL2_TOT_DIST,NO_TRIAL3_OBJ1_TOT_DUR,NO_TRIAL3_OBJ2_TOT_DUR,NO_TRIAL3_TOT_DIST,NS_BOUTS_EMPTY,NS_BOUTS_STRANGER,NS_DUR_EMPTY,NS_DUR_STRANGER,NS_INDEX,NS_LAT_EMPTY,NS_LAT_STRANGER,NS_PCT_WSTRANGER,NS_TOT_DIST,OF_BOUTS_CENTER,OF_DUR_CENTER,OF_TOT_DIST,PP_INDEX,PP_PARTNER_LAT,PP_PARTNER_TOT_BOUTS,PP_PARTNER_TOT_DUR,PP_STRANGER_LAT,PP_STRANGER_TOT_BOUTS,PP_STRANGER_TOT_DUR,PP_TOT_DIST,SP_BOUTS_CAGEMATE,SP_BOUTS_STRANGER,SP_DUR_CAGEMATE,SP_DUR_STRANGER,SP_LAT_CAGEMATE,SP_LAT_STRANGER,SP_TOT_DIST,OF_droppings,OF_Dur_Walls,OF_Dur_Corner,OF_Lat,OF_Cent_Dur_5min,NS_droppings,NS_Dur_NoCup,SP_droppings,SP_Dur_Neutral,PP_droppings,PP_Partner_Dur_Fin,PP_Duration_Neutral,NS_BOUTS_STRANGER,SP_BOUTS_CAGEMATE,SP_BOUTS_STRANGER,PP_BOUTS_PARTNER,PP_BOUTS_STRANGER
162,5MT,F,Complete Data,-0.9545,9.08,46.18,2783.1,9.98,63.96,6906.65,8,2,423.92,15.88,-0.9278,15.38,213.65,0.0361,3178.1,23,73.04,61033.15,0.5849,32.13,11,298.9,79.55,8,78.28,8816.82,6,1,470.07,10.94,10.41,447.78,2702.08,3,1402.64,1298.09,330.03,0.77,0,160.2,3,7.57,9,38.24,118.35,2,6,1,11,8
176,5MT,M,Incomplete Data,-0.9422,,,,,,,19,17,228.83,73.51,-0.5137,9.94,1.74,0.2431,11420.99,23,165.5,68199.72,,,,,,,,,16,2,129.93,3.87,8.14,2.37,4443.38,5,1074.34,1236.23,37.74,12.41,12,297.66,1,127.13,0,0,0,17,16,2,0,0
68,HIGH,M,Complete Data,-0.9421,72.04,86.19,5922.72,107.34,33.47,7648.83,23,40,74.91,131.56,0.2744,61.26,6.47,0.6372,8452.44,7,25.53,44277.6,0.1551,12.21,10,238.47,5.14,12,174.44,7846.65,23,2,146.68,4.37,77.41,59.69,3964.87,0,1575.21,1433,382.98,0,8,393.53,0,62.43,5,0,43.34,40,23,2,10,12
14,CTRL,F,Complete Data,-0.9407,23.09,88.79,5885.33,14.08,22.42,3782.53,19,28,107.64,112.71,0.023,48.11,5.84,0.5115,6944.83,23,42.81,75383.37,0.6272,9.74,9,369.87,41.41,12,84.75,8447.42,30,2,138.84,4.24,30.83,76.41,3137.82,17,1592.13,1118.75,375.41,8.14,0,379.65,0,50.32,1,45.98,61.53,28,30,2,9,12
198,HIGH,M,Complete Data,-0.9153,99.9,42.28,4442.31,67.73,60.66,4189.19,4,4,170.94,204.47,0.0893,173.01,21.25,0.5447,3710.41,7,20.02,70171.55,-0.7154,23.66,6,42.18,64.5,7,254.25,8811.22,4,1,15.15,0.67,205.87,44.01,2347.81,0,1568.87,1305.44,493.03,0,5,224.59,0,353.55,0,0,78.65,4,4,1,6,7
137,HIGH,F,Complete Data,-0.8774,36.37,87.82,8951.23,30.4,34.77,8204.13,18,11,117.12,35.2,-0.5378,171.17,7.01,0.2311,4110.3,23,136.14,59164.97,-0.2162,51.32,7,172.51,2.44,9,267.7,7509.19,9,2,45.95,3,96.23,20.22,1870.3,0,1358.56,1137.81,333.7,61.7,4,447.68,0,30.06,0,0,34.5,11,9,2,7,9
10,CTRL,F,Incomplete Data,-0.8768,,,,,,,19,33,101.84,266,0.4463,32.2,0,0.7231,17225.13,16,44.18,97831.44,,,,,,,,,11,9,515.15,33.83,1.43,5.67,12576.9,21,912.55,1199.29,421.86,3.67,11,232.16,21,57.89,0,0,0,33,11,9,0,0
90,LOW,F,Complete Data,-0.8726,121.69,78.55,7748.21,90.16,65.23,8073.46,20,3,101.7,15.78,-0.7314,40.54,494.39,0.1343,3555.71,20,57.29,61128.98,0.2044,14.08,10,300.8,0.1,13,198.7,10067.46,8,7,320.65,21.82,40.57,481.08,3340.03,22,1737.23,1140.2,336.5,10.91,0,482.52,14,85.69,4,0,48.52,3,8,7,10,13
72,HIGH,F,Complete Data,-0.8581,9.04,24.36,6491.88,11.85,63.26,14877.05,16,8,46.51,18.32,-0.4348,22.79,474.14,0.2826,4992.6,4,15.65,27873.51,0.055,91.49,11,227.33,3,12,203.64,9085.24,32,10,183.12,13.98,30.16,12.78,7088.16,9,1939.58,1167.79,541.47,0,0,535.17,4,91.36,0,14.71,97.23,8,32,10,11,12
94,MID,M,Incomplete Data,-0.8433,,,,,,,11,0,53.49,0,-1,4.44,600,0,928.45,9,40.21,82632,,,,,,,,,3,1,7.41,0.63,158.46,175.11,2824.96,22,1619.72,1174.55,1055.46,16.25,7,546.51,10,412.81,0,0,0,0,3,1,0,0
133,HIGH,M,Complete Data,-0.8246,47.25,18.18,5189.9,14.15,32,4326.54,33,0,101.4,0,-1,41.91,600,0,4834.14,11,15.78,50390.79,-0.1093,7.77,7,150.42,64.63,20,187.32,9790.06,27,8,134.7,12.95,70.87,162.73,8437.53,0,2166.63,1250.88,72.87,0,5,498.6,2,132.6,0,12.95,21.52,0,27,8,7,20
37,CTRL,M,Complete Data,-0.7876,55.52,149.68,6076.2,71.54,96.23,4565.33,20,20,80.41,70.47,-0.0659,78.88,46.51,0.4671,6708.79,7,27.43,59792.86,0.6742,3.34,8,334.5,51.12,12,65.1,5506.32,28,7,123.32,14.65,32.53,5.34,6325.61,1,1740.47,1228.09,60.73,0,0,449.12,16,88.12,0,18.05,87.45,20,28,7,8,12
167,5MT,F,Complete Data,-0.7622,72.44,39.41,9324.16,46.28,173.37,5582.96,9,13,256.16,197.73,-0.1287,7.41,37.7,0.4356,10203.04,17,53.49,62524.29,0.1131,1.07,20,252.95,21.22,20,201.53,18540.46,20,10,313.81,42.34,10.91,3.97,8682.62,9,2131.33,914.14,686.15,14.18,0,146.11,0,65.47,0,33.13,62.56,13,20,10,20,20
142,HIGH,M,Complete Data,-0.7367,54.19,8.81,1944.31,19.95,77.91,3790.28,31,8,114.21,36.27,-0.5179,54.79,27.39,0.241,7874.35,12,45.51,60917.89,0.1469,1.3,12,139.54,23.22,6,103.8,8330.45,23,7,146.35,22.19,38.57,2.14,2187.94,12,872.04,1256.06,55.59,5.11,5,449.52,3,11.61,0,2.9,183.68,8,23,7,12,6
233,CTRL,F,Complete Data,-0.7206,35.9,116.22,6143.33,3.07,100.83,5041.83,14,17,104.2,131.43,0.1156,92.09,4.4,0.5578,9104.86,38,53.82,92458.58,-0.2203,54.79,20,122.16,6.77,42,191.19,24592.81,30,15,237.17,38.51,19.62,12.95,10714.25,0,943.74,1038.74,42.11,16.18,8,364.37,2,133.3,0,11.88,163.26,17,30,15,20,42
149,5MT,F,Complete Data,-0.7141,20.85,66.43,3530.98,18.99,35.67,4852.92,10,13,194.63,158.76,-0.1015,65.37,20.12,0.4492,6653.32,24,101.27,49709.49,-0.1216,20.75,8,142.54,186.42,5,182.02,6717.24,5,1,69.44,11.58,29.7,528.06,4391.41,7,1300.66,1095.96,151.25,28.7,4,246.61,0,143.88,0,0,111.11,13,5,1,8,5
24,CTRL,M,Complete Data,-0.7068,15.95,87.12,6909.41,23.59,23.89,5189.14,34,13,124.62,58.29,-0.3626,84.45,8.68,0.3187,6832.38,4,38.97,32350.57,0.559,3.97,24,189.99,20.85,16,53.75,13870.15,7,7,106.24,18.25,17.25,4.57,5356.87,0,1310.32,1386.49,0.57,7.31,0,417.09,10,215.82,0,35.5,87.72,13,7,7,24,16
163,5MT,F,Complete Data,-0.6789,12.81,16.55,2161.27,7.54,3.5,2580.09,20,5,320.32,85.72,-0.5778,5.67,201.3,0.2111,8577.38,2,2.57,41403.5,-0.627,42.58,9,43.04,0.43,12,187.75,7998.71,10,10,281.78,53.89,63.23,11.48,3627.92,1,1510.87,1545.43,502.47,0,0,193.96,4,20.59,0,0,113.41,5,10,10,9,12
195,5MT,F,Complete Data,-0.6366,36.74,36.64,2195.93,13.48,15.62,4065.04,10,17,181.31,219.62,0.0956,11.08,115.55,0.5478,7261.75,6,10.54,56159.53,-0.3962,3.5,20,75.81,8.14,32,175.28,21652.34,7,9,251.22,55.79,1.1,165.73,6832.83,0,1174.93,1463.53,77.31,0,0,199.07,0,247.48,3,17.62,227.46,17,7,9,20,32
75,HIGH,F,Complete Data,-0.6358,25.63,29.13,8567.8,48.18,111.61,8797.83,24,4,108.48,10.01,-0.831,27.23,82.08,0.0845,7416.33,14,37.67,65234.22,0.1688,45.61,9,265.63,23.59,10,188.92,7691.21,23,10,80.61,17.95,63.06,4.77,5518.85,7,1215.41,1306.37,155.76,14.61,0,481.51,5,146.01,0,13.75,45.08,4,23,10,9,10
122,MID,F,Complete Data,-0.6197,64.5,96,4265.65,31.06,38.07,3181.24,24,6,125.83,90.12,-0.1654,4.5,313.75,0.4173,4378.92,24,90.52,70751.92,-0.4572,225.39,6,93.49,39.44,10,250.98,6733.94,24,2,81.72,19.19,36.27,437.37,4810.61,0,2032.7,964.83,261.56,11.08,0,384.05,0,145.91,1,0,146.35,6,24,2,6,10
202,CTRL,M,Complete Data,-0.6085,33.2,40.51,12030.17,16.88,24.46,8808.95,18,9,177.54,224.69,0.1172,11.71,102.24,0.5586,9496.41,17,37.27,63582.68,-0.5587,25.23,18,90.06,5.54,25,318.12,17462.73,18,10,270.37,65.8,0.93,24.32,9847.22,0,1885.9,1409.48,292.83,0,0,197.77,0,86.49,0,9.48,78.61,9,18,10,18,25
179,5MT,M,Complete Data,-0.5866,46.85,49.75,6876.82,38.24,49.35,7579.36,9,14,114.65,365.73,0.5227,20.05,42.11,0.7613,9545.34,34,121.22,70009.02,0.7291,0.97,18,405.54,44.58,5,63.53,9662.9,13,10,271.74,70.8,14.15,1.3,7850.15,0,1263.52,851.08,89.36,30.96,3,119.62,0,142.18,0,47.58,18.69,14,13,10,18,5
17,CTRL,M,Complete Data,-0.5845,56.59,39.84,2894.28,23.82,29.46,5264.21,27,6,93.13,28.26,-0.5344,8.24,66.7,0.2328,4667.69,17,56.02,51963.36,0.9897,52.19,17,180.31,73.01,1,0.93,9396.24,15,6,174.11,45.65,200.4,53.82,4627.7,2,1460.09,1069.07,78.91,9.11,16,478.61,1,84.32,0,30.4,338.71,6,15,6,17,1
168,5MT,F,Complete Data,-0.5642,29.46,20.05,6484.07,2.2,0,529.12,14,27,273.04,155.79,-0.2734,60.83,1.43,0.3633,10918.83,11,34.3,65352.32,0.6151,3,10,411.38,24.16,11,98.03,10925.85,24,6,66.73,18.59,19.45,4.4,5533.93,7,1874.37,1306.47,636.44,18.25,10,171.17,0,108.41,0,54.52,18.79,27,24,6,10,11
172,5MT,F,Complete Data,-0.5508,41.84,46.55,14748.1,11.85,18.39,9556.13,13,15,121.29,381.28,0.5173,3.44,56.19,0.7587,7747.1,5,3.74,73632.75,0.8105,0,20,453.85,18.39,7,47.51,9518.65,13,16,378.45,109.61,15.78,1.87,8063.31,11,1757.25,1551.01,614.45,0,7,97.43,7,25.99,9,56.66,14.78,15,13,16,20,7
74,HIGH,M,Complete Data,-0.5464,33.73,41.41,10456.05,21.22,20.22,12757.13,21,18,73.07,46.51,-0.2221,37.44,26.29,0.3889,5340.59,19,37.94,76495.51,-0.0648,2,18,164.8,21.35,23,187.65,19540.04,24,22,155.99,45.75,63.06,16.22,11785.98,14,1385.48,1015.15,122.02,2.3,3,480.42,25,167.8,9,3.67,96.86,18,24,22,18,23
27,CTRL,M,Incomplete Data,-0.536,66,58.99,3732.46,41.24,49.25,3358.7,23,26,57.56,49.02,-0.0801,23.39,101.4,0.4599,8588,23,54.65,53018.44,,,,,,,,,25,22,198.13,59.86,48.45,6.37,7556.62,0,1831.3,1219.65,164.93,0,0,493.42,0,79.71,0,0,0,26,25,22,0,0
183,5MT,M,Complete Data,-0.5276,23.99,28.53,10433.11,13.48,28.03,13396.26,17,20,165.87,221.49,0.1436,6.94,33.2,0.5718,13109.07,11,33.23,77632.27,-0.1193,8.48,24,197.13,0,24,250.52,19168.9,22,14,306.54,94.79,2.04,14.08,12382.3,5,1035.8,1447.65,900.37,5.74,3,212.64,0,62.06,2,12.98,34.07,20,22,14,24,24
63,MID,F,Complete Data,-0.5033,46.21,65.63,7601.92,48.65,13.71,6152.51,19,19,115.08,62.63,-0.2951,25.59,139.17,0.3524,5006.87,14,61.26,47035.02,-0.1635,3.5,24,146.08,9.31,15,203.2,14427.27,16,11,140.57,46.45,1.27,25.96,6932.57,1,1140.81,1342.83,108.31,0,0,422.29,3,145.55,5,6.37,74.87,19,16,11,24,15
16,CTRL,M,Complete Data,-0.4755,32.37,39.54,7749.47,22.02,49.88,13567.71,15,16,48.15,48.01,-0.0015,203.6,25.66,0.4993,6765.71,41,136.3,55511.13,0.7908,10.14,24,354.49,51.65,12,41.41,15303.6,8,10,55.39,19.69,243.34,91.46,4726.63,0,2223.19,1349.31,18.62,5.57,14,503.84,11,119.69,4,59.99,95.53,16,8,10,24,12
191,5MT,M,Complete Data,-0.4725,24.06,58.63,16033.08,55.16,30.2,11309.85,14,12,195.7,193.06,-0.0068,8.54,25.86,0.4966,10047.68,19,52.12,80229.72,0.1337,25.93,14,212.85,4.44,18,162.66,12924.97,22,17,316.95,113.55,1.77,18.65,12753.58,6,1792.17,880.01,233.07,21.96,1,211.24,0,47.11,0,6.64,78.65,12,22,17,14,18
254,CTRL,F,Complete Data,-0.4723,24.02,22.06,4306.82,8.71,14.45,3132.87,10,11,144.61,301.43,0.3516,32.17,7.24,0.6758,9129.55,13,76.34,44264.09,0.4314,68.5,5,368.87,1.9,7,146.51,5721.27,10,5,367.5,131.73,2.1,20.39,6504.92,0,1783.62,1387.29,411.81,0,0,153.96,3,30.43,0,59.99,29.2,11,10,5,5,7
